company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_list,investor_market,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/organization/kalon-semiconductor,Kalon Semiconductor,|Semiconductors|,Semiconductors,USA,CA,San Diego,San Diego,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/dd6dd896580062f93f527357f6b62949,venture,A,20/06/2006,2006-06,2006-Q2,2006,10900000
/organization/tarari,Tarari,|Semiconductors|,Semiconductors,USA,CA,San Diego,San Diego,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/e870a87b3a3e7514a92d4c0badd4daa5,venture,C,1/2/2006,2006-02,2006-Q1,2006,14000000
/organization/nexx-systems,Nexx Systems,|Semiconductors|,Semiconductors,USA,MA,Boston,Billerica,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/a8c68ba50aea8e82d96627fe1cb2ed89,venture,D,27/10/2009,2009-10,2009-Q4,2009,4000000
/organization/vmixmedia,VMIX Media,|Video|Enterprise Software|,Video,USA,CA,San Diego,San Diego,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/ae899af7572a82a13a9bbe64b0fdd5f7,venture,B,1/10/2007,2007-10,2007-Q4,2007,16500000
/organization/vmixmedia,VMIX Media,|Video|Enterprise Software|,Video,USA,CA,San Diego,San Diego,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/625141cc28590a366785eaaeaf3e9061,venture,A,1/3/2006,2006-03,2006-Q1,2006,5000000
/organization/vmixmedia,VMIX Media,|Video|Enterprise Software|,Video,USA,CA,San Diego,San Diego,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/c5e13a1037e86cd074f499e1a5e97a88,venture,B,1/10/2009,2009-10,2009-Q4,2009,2000000
/organization/celladon,Celladon,|Biotechnology|,Biotechnology,USA,CA,San Diego,La Jolla,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/2044c26b54607b36b3b382746a02278e,venture,B,7/12/2005,2005-12,2005-Q4,2005,30000000
/organization/celladon,Celladon,|Biotechnology|,Biotechnology,USA,CA,San Diego,La Jolla,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/20acd523490100eab65e7860d1700177,venture,C,1/11/2009,2009-11,2009-Q4,2009,21800000
/organization/relion,ReliOn,|Clean Technology|,Clean Technology,USA,WA,Spokane,Spokane,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/5408fc6e7730e358858fcab961c44719,venture,E,28/04/2008,2008-04,2008-Q2,2008,5000000
/organization/relion,ReliOn,|Clean Technology|,Clean Technology,USA,WA,Spokane,Spokane,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/66d648d8ee7cb8be724de66313a8be44,venture,D,14/02/2008,2008-02,2008-Q1,2008,18000000
/organization/interactive-fitness,Interactive Fitness,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Sunnyvale,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/1a56c51b3c8340214b1892269e7e6c48,venture,C,16/03/2007,2007-03,2007-Q1,2007,9300000
/organization/interactive-fitness,Interactive Fitness,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Sunnyvale,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/e806adcf97c232deed57dd964f5920b7,venture,D,19/08/2009,2009-08,2009-Q3,2009,6000000
/organization/interactive-fitness,Interactive Fitness,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Sunnyvale,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/bf21610fed68beb062ed7d64a2d7f1d0,venture,D,8/12/2008,2008-12,2008-Q4,2008,14000000
/organization/preventsys,Preventsys,|Security|,Security,USA,CA,San Diego,Carlsbad,/organization/enterprise-partners,Enterprise Partners,,,USA,CA,San Diego,La Jolla,/funding-round/8c5eeb55dbc9e25b080fd5133d7cbf50,undisclosed,,12/9/2005,2005-09,2005-Q3,2005,7000000
